City,Price,Bedroom,Bathroom,Floors,Parking,Year,Area,Road Width,Build Area,Air Condition,Backyard,Balcony,CCTV,Cafeteria,Deck,Drainage,Electricity Backup,Fencing,Frontyard,Garage,Garden,Gym,Intercom,Internet,Jacuzzi,Kids Playground,Lawn,Lift,Maintenance,Microwave,Modular Kitchen,Parking,Security Staff,Solar Water,Store Room,Swimming Pool,TV Cable,Washing Machine,Water Supply,Water Tank,Water Well,Wifi,East,North,North East,North West,South,South East,South West,West
Kathmandu,41000000,10,5,4.0,3,2075.0,4 Aana,7.92,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
Kathmandu,27000000,6,6,3.0,2,2076.0,4.5 Aana,4.27,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,22000000,5,5,3.0,1,2076.0,3.1 Aana,3.96,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,37000000,5,5,3.0,3,2071.0,8 Aana,4.57,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0
Kathmandu,46000000,4,3,2.5,1,2074.0,0-6-3-0 Aana,3.96,N/A Aana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0
Kathmandu,22500000,5,3,3.0,1,2058.0,4 Aana,3.96,4 Aana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0
Bhaktapur,29000000,3,3,2.0,2,2070.0,4.5 Aana,6.1,2200 Sq. Feet,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0
Kathmandu,31000000,3,4,3.0,1,2018.0,0-3-0-0 Aana,6.0,2000 Sq. Feet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,42500000,0,0,3.0,0,2058.0,0-5-1-1 Aana,8.84,N/A Aana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Kathmandu,37500000,5,5,3.0,2,2058.0,5 Aana,0.0,3 Aana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0
