City,Price,Bedroom,Bathroom,Floors,Year,Area,Road Width,Balcony,Drainage,Water Supply,Water Tank,East,North,North East,North West,South,South East,South West,West
7,50000000,0,0,0.0,2058.0,1197.9,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,57500000,4,5,3.0,2076.0,8.0,6.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0
16,30000000,0,3,3.0,2058.0,2.0,7.62,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0
19,100000,3,3,3.0,2001.0,11.0,6.1,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0
16,15500000,0,0,3.0,2058.0,4.0,5.49,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,7500000,0,0,3.0,2058.0,9.5,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,60000000,0,0,2.0,2058.0,9.5,4.57,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,1200000,0,0,3.0,2058.0,4.75,6.1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
16,2700000,0,0,3.0,2058.0,5.0,3.66,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0
16,35000000,7,3,2.5,2076.0,3.625,3.66,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
16,3600000,0,0,3.0,2058.0,9.0,4.88,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
16,25000000,6,4,4.0,2000.0,2.5,6.1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,15500000,0,0,2.0,2015.0,3.5,3.96,1.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0
16,9500000,0,0,3.0,2058.0,13.0,12.19,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
